车辆品牌,MOB,prepay_accum_rate
五十铃,12,0.0
五十铃,13,0.0
五菱,1,0.0
五菱,2,0.0
五菱,3,0.0
五菱,4,0.0
五菱,5,0.0774047935861
五菱,6,0.0774047935861
五菱,7,0.0774047935861
五菱,8,0.0774047935861
五菱,9,0.0774047935861
五菱,10,0.184096612824
五菱,11,0.184096612824
五菱,12,0.184096612824
五菱,13,0.184096612824
五菱汽车,1,0.0
五菱汽车,2,0.0
五菱汽车,3,0.0
五菱汽车,4,0.0
五菱汽车,5,0.0245685860267
五菱汽车,6,0.0245685860267
五菱汽车,7,0.0245685860267
五菱汽车,8,0.0245685860267
五菱汽车,9,0.0245685860267
五菱汽车,10,0.0245685860267
众泰,1,0.0
众泰,2,0.0
众泰,3,0.0
众泰,4,0.0
众泰,5,0.0
众泰,6,0.0
众泰,7,0.0
众泰,8,0.0
众泰,9,0.0
众泰,10,0.0
众泰,11,0.0
众泰,12,0.0
众泰,13,0.0
众泰,14,0.0
众泰,15,0.0
依维柯,1,0.0
依维柯,2,0.0
依维柯,3,0.0
依维柯,4,0.0
依维柯,5,0.0
依维柯,6,0.0
依维柯,7,0.0
依维柯,8,0.0
依维柯,9,0.0
依维柯,10,0.0
依维柯,11,0.0
依维柯,12,0.0
依维柯,13,0.0
保时捷,1,0.0
保时捷,2,0.0
保时捷,3,0.113595705199
保时捷,4,0.113595705199
保时捷,5,0.113595705199
保时捷,6,0.113595705199
保时捷,7,0.113595705199
保时捷,8,0.113595705199
保时捷,9,0.113595705199
保时捷,10,0.113595705199
保时捷,11,0.113595705199
保时捷,12,0.113595705199
保时捷,13,0.113595705199
保时捷,14,0.113595705199
保时捷,15,0.113595705199
克莱斯勒,1,0.0
克莱斯勒,2,0.0
克莱斯勒,3,0.0
克莱斯勒,4,0.0
克莱斯勒,5,0.0
克莱斯勒,6,0.0
克莱斯勒,7,0.0
克莱斯勒,8,0.0
克莱斯勒,9,0.0
克莱斯勒,10,0.0
克莱斯勒,11,0.0
凯迪拉克,1,0.0
凯迪拉克,2,0.0
凯迪拉克,3,0.0
凯迪拉克,4,0.0330102784349
凯迪拉克,5,0.0794771060262
凯迪拉克,6,0.0794771060262
凯迪拉克,7,0.0794771060262
凯迪拉克,8,0.0794771060262
凯迪拉克,9,0.0794771060262
凯迪拉克,10,0.0794771060262
凯迪拉克,11,0.0794771060262
凯迪拉克,12,0.0794771060262
凯迪拉克,13,0.0794771060262
凯迪拉克,14,0.0794771060262
凯迪拉克,15,0.0794771060262
凯迪拉克,16,0.0794771060262
别克,1,0.00168927608396
别克,2,0.00444010820268
别克,3,0.0177983856466
别克,4,0.0200921301939
别克,5,0.0225142272375
别克,6,0.0265360037605
别克,7,0.0304978759546
别克,8,0.0314098901235
别克,9,0.0334414395309
别克,10,0.03872815898
别克,11,0.0390782939345
别克,12,0.0405989672708
别克,13,0.0405989672708
别克,14,0.0405989672708
别克,15,0.0405989672708
别克,16,0.0405989672708
别克,17,0.0405989672708
别克,18,0.0405989672708
别克,19,0.0411923904675
别克,20,0.0411923904675
别克,21,0.0411923904675
别克,22,0.0411923904675
别克,23,0.0411923904675
力帆汽车,1,0.0
