Index,x,Betas,Lower_Bound,Upper_Bound,Default,Desc
1,intercept,-6.25691336,1,1,1,Intercept
2,mob*(mob==1),1.55150251,0,1,1,MOB = 1
3,mob*(mob>1),0.37510438,0,7,2,"MOB = 2,3,4,5,6,7"
4,gender,0.27071847,0,1,0,Gender
5,amt_lt_1000,1.3922378,0,1,1,Amount<=1000
6,amt_bt_1000_2500,0.88796169,0,1,0,"Amount Between 1000,2500"
7,feeratio_lt_7,-1.32228058,0,1,1,Feeratio <=7%
8,feeratio_bt_7_11,-0.30850797,0,1,0,"Feeratio Between 7%,11%"
9,score_lt_590,0.08291108,0,1,0,Score<=590
